Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
0910001A18RIK	CPB1	gene	HOM:51882212	MGI
0910001B06RIK	LSM7	gene	HOM:51875576	MGI
0910001B19RIK	TRY4	gene	HOM:51881699	MGI
0910001E24RIK	0910001E24RIK	gene	MGI:1918945	MGI
0910001F22RIK	CELA3B	gene	HOM:51873466	MGI
0910001G08RIK	CTRL	gene	HOM:51872614	MGI
0910001J09RIK	UBE2S	gene	HOM:51883287	MGI
0910001K16RIK	SYCN	gene	HOM:51880506	MGI
0910001K20RIK	LMBRD1	gene	HOM:51874577	MGI
0910001K24RIK	CXCL16	gene	HOM:51887072	MGI
0910001L09RIK	LAMTOR4	gene	HOM:51875388	MGI
0910001L11RIK	IZUMO1R	gene	HOM:51883821	MGI
0910001L12RIK	CPA1	gene	HOM:51871366	MGI
0910001L17RIK	UGGT1	gene	HOM:51883436	MGI
0910001L24RIK	ABHD8	gene	HOM:51870486	MGI
0910001N05RIK	SNX5	gene	HOM:51876464	MGI
0910001O23RIK	EIF2S1	gene	HOM:51873445	MGI
0910002B17RIK	UXT	gene	HOM:51882889	MGI
1-AGP	AGPAT1	gene	HOM:51883609	MGI
1-CYS PRX	PRDX6	gene	HOM:51884481	MGI
1-CYSPRX	PRDX6	gene	HOM:51884481	MGI
1-CYSPRX-P1	PRDX6B	gene	HOM:51884482	MGI
1-GICERIN	MCAM	gene	HOM:51872142	MGI
1.19	XIAF2	gene	MGI:3043979	MGI
1.19	XIAF3	gene	MGI:2676261	MGI
100038850	TRAV9D-3	gene	HOM:51890619	MGI
100039323	GM3892	gene	MGI:3782065	MGI
100040583	GM5468	gene	MGI:3648948	MGI
100041096	IQCF6	gene	HOM:51887874	MGI
100041422	GM3327	gene	HOM:51891279	MGI
100041722	1700049E17RIK2	gene	HOM:51892025	MGI
100041930	1700091H14RIK	gene	MGI:1920803	MGI
100042318	GM3787	gene	MGI:3781960	MGI
100042479	TRAV4D-3	gene	MGI:3782037	MGI
100042579	TRAV4N-3	gene	MGI:3782086	MGI
100042802	AI463229	gene	MGI:2145255	MGI
100042889	C920021L13RIK	gene	MGI:1923991	MGI
100043057	TMEM207	gene	HOM:51890466	MGI
100043202	TRAV3D-3	gene	HOM:51878019	MGI
100043218	TRAV12N-1	gene	HOM:51890581	MGI
100043274	TRAV9N-3	gene	HOM:51890617	MGI
100043277	6430590A10RIK	gene	MGI:2442852	MGI
100043282	TRAV3N-3	gene	HOM:51878017	MGI
100043308	TRAV14N-3	gene	HOM:51890598	MGI
100043450	AA387883	gene	MGI:3035466	MGI
100KDA	CPSF2	gene	HOM:51884828	MGI
100KDA	MED24	gene	HOM:51872550	MGI
1010001A17RIK	TESC	gene	HOM:51874788	MGI
1010001B22RIK	1010001B22RIK	gene	MGI:1922653	MGI
1010001C05RIK	MRPL18	gene	HOM:51883538	MGI
1010001C09RIK	SMPX	gene	HOM:51884686	MGI
1010001C15RIK	MAP1LC3B	gene	HOM:51877534	MGI
1010001D01RIK	STEAP3	gene	HOM:51880193	MGI
1010001G17RIK	B3GNT4	gene	HOM:51886506	MGI
1010001H16RIK	COLEC11	gene	HOM:51882283	MGI
1010001H21RIK	MAP1LC3A	gene	HOM:51884515	MGI
1010001I08RIK	1010001I08RIK	gene	MGI:1915683	MGI
1010001J06RIK	SLC35A5	gene	HOM:51879054	MGI
1010001J12RIK	LSM3	gene	HOM:51886237	MGI
1010001M04RIK	NDUFS7	gene	HOM:51888867	MGI
1010001M12RIK	NDUFA3	gene	HOM:51882755	MGI
1010001N08RIK	GATA6OS	gene	MGI:1915684	MGI
1010001N11RIK	NDUFA9	gene	HOM:51877970	MGI
1010001P06RIK	SLC41A3	gene	HOM:51890033	MGI
1010001P14RIK	GHITM	gene	HOM:51881794	MGI
1010001P15RIK	ZC3H14	gene	HOM:51880560	MGI
101F6 PROTEIN	CYB561D2	gene	HOM:51882828	MGI
104TNRU	TMGC39	gene	MGI:3053533	MGI
105KDA	TAF4B	gene	HOM:51879138	MGI
107KDA	INPP4A	gene	HOM:51877360	MGI
10BOB	TBOB	gene	MGI:4821364	MGI
10KDA	HSPE1-RS1	gene	HOM:51872499	MGI
