Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
ABCA12	ABCA12	gene	HOM:51871664	HGNC
ABCA13	ABCA13	gene	HOM:51886284	HGNC
ABCA15P	ABCA15P	gene	HOM:51870469	HGNC
ABCA15P1	ABCA15P	gene	HOM:51870469	HGNC
ABCA15P2	ABCA16P	gene	HGNC:55707	HGNC
ABCA16P	ABCA16P	gene	HGNC:55707	HGNC
ABCA17P	ABCA17P	gene	HOM:51870468	HGNC
ABCA2	ABCA2	gene	HOM:51880826	HGNC
ABCA3	ABCA3	gene	HOM:51870470	HGNC
ABCA3P1	ABCA16P	gene	HGNC:55707	HGNC
ABCA4	ABCA4	gene	HOM:51879540	HGNC
ABCA5	ABCA5	gene	HOM:51883806	HGNC
